type,lat,lon,activity_score,year,nightlights,ndbi
motel,-1.9738758,30.054023,1,2015,10.799793,0.05951469704160032
restaurant,-1.946185,30.1061252,1,2015,9.587131,0.05951469704160032
cafe,-1.9507881,30.1235299,1,2015,18.271624,0.05951469704160032
supermarket,-1.9254398,30.097182400000005,1,2015,13.386457,0.05951469704160032
bar,-1.971235,30.0766177,1,2015,11.377877,0.05951469704160032
nightclub,-1.9253857,30.0972734,1,2015,13.386457,0.05951469704160032
industrial,-1.9581481,30.076257,1,2015,16.039955,0.05951469704160032
supermarket,-1.9601494,30.108625499999995,1,2015,23.709198,0.05951469704160032
supermarket,-1.9607941,30.107322700000005,1,2015,23.709198,0.05951469704160032
restaurant,-1.933393,30.108627800000004,1,2015,8.781303,0.05951469704160032
school,-1.9612047,30.0604818,1,2015,20.325254,0.05951469704160032
bar,-1.9737667,30.0778578,1,2015,11.377877,0.05951469704160032
bank,-1.9581971,30.1114654,1,2015,27.79873,0.05951469704160032
hotel,-1.9359527,30.1322202,1,2015,9.46916,0.05951469704160032
school,-1.9323445,30.1348703,1,2015,8.917836,0.05951469704160032
motel,-1.936531,30.130111,1,2015,8.249643,0.05951469704160032
bar,-1.9372635,30.129589100000004,1,2015,8.249643,0.05951469704160032
bar,-1.9293670000000005,30.109330499999995,1,2015,9.224108,0.05951469704160032
hotel,-1.9424722000000003,30.1298225,1,2015,11.189579,0.05951469704160032
bank,-1.9488563,30.125765,1,2015,18.271624,0.05951469704160032
bank,-1.9487571,30.125951,1,2015,18.271624,0.05951469704160032
pub,-1.9713970000000005,30.0776969,1,2015,11.377877,0.05951469704160032
bank,-1.9583364000000003,30.1105296,1,2015,27.79873,0.05951469704160032
nightclub,-1.9526822,30.081343199999992,1,2015,15.596899,0.05951469704160032
townhall,-1.9444896,30.0896132,1,2015,20.043005,0.05951469704160032
fuel,-1.960301,30.1198496,1,2015,17.7866,0.05951469704160032
books,-1.9707829,30.0769271,1,2015,11.377877,0.05951469704160032
toys,-1.9584939,30.111614700000004,1,2015,27.79873,0.05951469704160032
supermarket,-1.9583009,30.111335699999994,1,2015,27.79873,0.05951469704160032
hairdresser,-1.9584832,30.111432300000004,1,2015,27.79873,0.05951469704160032
place_of_worship,-1.9699,30.0791149,1,2015,17.111645,0.05951469704160032
hotel,-1.96044,30.109147000000004,1,2015,23.709198,0.05951469704160032
bank,-1.9602363,30.1095601,1,2015,27.79873,0.05951469704160032
bank,-1.9603273999999995,30.1093294,1,2015,23.709198,0.05951469704160032
bank,-1.9684337,30.103235699999995,1,2015,10.601174,0.05951469704160032
playground,-1.9717214,30.0826128,1,2015,13.937266,0.05951469704160032
bookmaker,-1.9711867,30.0807859,1,2015,13.865672,0.05951469704160032
