type,lat,lon,activity_score,nightlights,ndbi,avg_nightlights,avg_ndbi,econ_intensity_pc1,coverage_ratio,cluster_enhanced,cluster_label
townhall,-1.9389379999999998,30.0817494,1,,,0.0,0.0,-0.7078393979599457,0.9171784701739437,1,Peri-urban Emerging
place_of_worship,-1.9779613999999999,30.1128279,1,,,0.0,0.0,-0.7078393979599457,2.5373958008661956,1,Peri-urban Emerging
place_of_worship,-1.9856038,30.111897399999997,1,,,0.0,0.0,-0.7078393979599457,0.3364115458723531,1,Peri-urban Emerging
townhall,-1.9845955999999996,30.103490800000003,1,,,0.0,0.0,-0.7078393979599457,3.646867512617059,1,Peri-urban Emerging
public_building,-1.974616,30.1135577,1,15.897764681818181,0.10333379164014547,15.897764681818181,0.10333379164014547,1.258280548727936,0.5776806202675699,1,Peri-urban Emerging
hotel,-1.9736965999999998,30.106564999999996,1,,,0.0,0.0,-0.7078393979599457,0.5859593146150945,1,Peri-urban Emerging
school,-1.9876921,30.100602499999994,1,,,0.0,0.0,-0.7078393979599457,1.7447985264529997,1,Peri-urban Emerging
school,-1.9130328999999997,30.0871395,1,,,0.0,0.0,-0.7078393979599457,1.8352967759333212,1,Peri-urban Emerging
school,-1.9129694,30.087071099999992,1,12.91557709090909,0.18381833154923638,12.91557709090909,0.18381833154923638,1.9855890968184187,1.8352967759333212,1,Peri-urban Emerging
school,-1.9576254999999991,30.094340500000005,1,37.58150263636364,0.006877185203781849,37.58150263636364,0.006877185203781849,1.3343570080871763,0.5024975827861621,1,Peri-urban Emerging
place_of_worship,-1.9512676000000002,30.122306900000005,1,,,0.0,0.0,-0.7078393979599457,0.2985179434277396,1,Peri-urban Emerging
supermarket,-1.9280683,30.0590945,1,14.064742363636363,-0.0032282860871272467,14.064742363636363,-0.0032282860871272467,-0.007236135310583791,6.817222309109256,0,Peri-urban Emerging
hotel,-1.9411966999999997,30.065208300000002,1,,,0.0,0.0,-0.7078393979599457,0.8349472359199729,1,Peri-urban Emerging
bar,-1.9695800000000003,30.103453000000002,1,,,0.0,0.0,-0.7078393979599457,5.509790797343002,0,Peri-urban Emerging
kiosk,-1.9713054999999995,30.103740299999995,1,,,0.0,0.0,-0.7078393979599457,1.390113026141047,1,Peri-urban Emerging
restaurant,-1.9495264999999995,30.0800812,1,22.885789545454546,0.07771096828560003,22.885789545454546,0.07771096828560003,1.342749919518535,3.3870788211497898,1,Peri-urban Emerging
place_of_worship,-1.9020191999999996,30.0539351,1,,,0.0,0.0,-0.7078393979599457,3.3119809323493947,1,Peri-urban Emerging
place_of_worship,-1.8882028999999998,30.036428499999996,1,,,0.0,0.0,-0.7078393979599457,1.531745004755934,1,Peri-urban Emerging
place_of_worship,-1.811795,30.184887299999993,1,,,0.0,0.0,-0.7078393979599457,2.092312762612192,1,Peri-urban Emerging
fuel,-1.9347344999999996,30.0625645,1,,,0.0,0.0,-0.7078393979599457,9.135464418425498,0,Peri-urban Emerging
bar,-1.9406793,30.103468499999998,1,,,0.0,0.0,-0.7078393979599457,2.9338592358294173,1,Peri-urban Emerging
cafe,-1.9404434,30.1033451,1,20.889881272727273,0.056496151003781844,20.889881272727273,0.056496151003781844,1.0054530869368783,2.9338592358294173,1,Peri-urban Emerging
mobile_phone,-1.9405213999999997,30.102849199999998,1,,,0.0,0.0,-0.7078393979599457,2.9338592358294173,1,Peri-urban Emerging
atm,-1.9408380999999995,30.103315899999995,1,,,0.0,0.0,-0.7078393979599457,2.9338592358294173,1,Peri-urban Emerging
swimming_pool,-1.9419401999999995,30.102660200000003,1,,,0.0,0.0,-0.7078393979599457,2.9338592358294173,1,Peri-urban Emerging
hairdresser,-1.9410296,30.103527500000002,1,,,0.0,0.0,-0.7078393979599457,2.9338592358294173,1,Peri-urban Emerging
hotel,-1.9434288000000002,30.064602300000004,1,,,0.0,0.0,-0.7078393979599457,0.525602848216673,1,Peri-urban Emerging
playground,-1.9782679999999995,30.110137599999998,1,,,0.0,0.0,-0.7078393979599457,2.5373958008661956,1,Peri-urban Emerging
bank,-1.9477632,30.05954489999999,1,34.03195354545455,0.23161574336741822,34.03195354545455,0.23161574336741822,3.6152599692128042,1.6189806985460047,1,Peri-urban Emerging
convenience,-1.9445235000000003,30.0595921,1,43.28970181818182,0.08794815291287275,43.28970181818182,0.08794815291287275,2.5228871905272183,3.025242108740573,1,Peri-urban Emerging
restaurant,-1.9421606,30.056262199999992,1,37.670466363636365,0.08794815291287275,37.670466363636365,0.08794815291287275,2.228821443864426,3.025242108740573,1,Peri-urban Emerging
bar,-1.954729,30.081728599999998,1,,,0.0,0.0,-0.7078393979599457,6.46816624720879,0,Peri-urban Emerging
bar,-1.9509815000000001,30.083869,1,,,0.0,0.0,-0.7078393979599457,6.46816624720879,0,Peri-urban Emerging
bar,-1.9326535,30.073709599999997,1,,,0.0,0.0,-0.7078393979599457,4.92014399744014,0,Peri-urban Emerging
hotel,-1.9053022,30.042900500000002,1,,,0.0,0.0,-0.7078393979599457,1.4877934230659335,1,Peri-urban Emerging
convenience,-1.9474594,30.092958000000003,1,25.801028454545452,0.11897043509469095,25.801028454545452,0.11897043509469095,1.9481607559783827,3.3426708454407814,1,Peri-urban Emerging
