type,geometry,lat,lon,activity_score
pharmacy,POINT (30.1044226 -1.9765135),-1.9765135000000003,30.104422599999996,1
bar,POINT (30.105177 -1.9768027),-1.9768027,30.105177000000005,1
pharmacy,POINT (30.1044086 -1.9743693),-1.9743693,30.1044086,1
bar,POINT (30.104423 -1.9740553),-1.9740552999999998,30.104422999999993,1
bar,POINT (30.1045832 -1.9737078),-1.9737078000000001,30.104583199999993,1
cafe,POINT (30.1045226 -1.97367),-1.9736699999999998,30.10452259999999,1
pharmacy,POINT (30.1042566 -1.9735165),-1.9735164999999997,30.1042566,1
restaurant,POINT (30.1041274 -1.9733572),-1.9733572,30.104127399999992,1
bar,POINT (30.1040148 -1.9728699),-1.9728699000000003,30.1040148,1
cafe,POINT (30.1039484 -1.9727063),-1.9727063,30.103948400000004,1
restaurant,POINT (30.1038006 -1.9718192),-1.9718192000000003,30.1038006,1
bar,POINT (30.10305 -1.9702078),-1.9702078,30.103050000000003,1
bar,POINT (30.1037044 -1.9691676),-1.9691676,30.103704400000005,1
bar,POINT (30.1028179 -1.9686902),-1.9686901999999997,30.102817900000005,1
pharmacy,POINT (30.1042277 -1.9740808),-1.9740808,30.1042277,1
restaurant,POINT (30.0795277 -1.933409),-1.933409,30.079527699999996,1
bar,POINT (30.137094 -1.961967),-1.9619669999999996,30.137094,1
pharmacy,POINT (30.1322223 -1.9831454),-1.9831453999999995,30.1322223,1
cafe,POINT (30.1370294 -1.9618618),-1.9618618000000003,30.1370294,1
supermarket,POINT (30.1369915 -1.9615865),-1.9615865,30.1369915,1
pharmacy,POINT (30.1369802 -1.9611709),-1.9611709,30.136980199999996,1
supermarket,POINT (30.1366304 -1.9611527),-1.9611526999999995,30.1366304,1
pharmacy,POINT (30.1377665 -1.9604993),-1.9604993,30.1377665,1
pharmacy,POINT (30.1376682 -1.9606074),-1.9606073999999998,30.137668199999993,1
supermarket,POINT (30.146369 -1.9968214),-1.9968214,30.146369,1
pharmacy,POINT (30.1460371 -1.9964529),-1.9964528999999993,30.146037099999997,1
bar,POINT (30.1461478 -1.9961135),-1.9961135000000005,30.1461478,1
pharmacy,POINT (30.1454763 -1.9971076),-1.9971075999999999,30.145476300000002,1
pharmacy,POINT (30.1454641 -1.9985006),-1.9985006000000003,30.1454641,1
bar,POINT (30.1459943 -1.9981669),-1.9981668999999997,30.145994299999995,1
supermarket,POINT (30.1024017 -1.9681941),-1.9681941,30.102401699999998,1
bank,POINT (30.1176811 -1.9496844),-1.9496843999999998,30.1176811,1
pharmacy,POINT (30.1019123 -1.9678495),-1.9678495,30.101912300000002,1
pharmacy,POINT (30.0995786 -1.9717422),-1.9717422,30.0995786,1
cafe,POINT (30.0824033 -1.9505265),-1.9505264999999996,30.082403299999996,1
bar,POINT (30.0521774 -1.9520556),-1.9520555999999998,30.052177399999994,1
bank,POINT (30.0519027 -1.9524092),-1.9524092,30.0519027,1
bank,POINT (30.0445636 -1.9427704),-1.9427704,30.044563600000004,1
bank,POINT (30.0629919 -1.9348699),-1.9348698999999998,30.0629919,1
bank,POINT (30.0630897 -1.9349246),-1.9349246,30.0630897,1
restaurant,POINT (30.0755142 -1.929694),-1.9296939999999996,30.075514199999997,1
cafe,POINT (30.1027453 -1.9555924),-1.9555924,30.10274529999999,1
restaurant,POINT (30.0603275 -1.9647612),-1.9647612000000003,30.060327499999996,1
cafe,POINT (30.0601206 -1.9648375),-1.9648375000000002,30.060120600000005,1
bar,POINT (30.1741312 -1.9708051),-1.9708051000000002,30.174131199999994,1
pharmacy,POINT (30.174952 -1.9711214),-1.9711214,30.174952,1
bar,POINT (30.1703829 -1.9766339),-1.9766339000000002,30.170382900000003,1
bar,POINT (30.111142 -1.9592445),-1.9592444999999998,30.111141999999997,1
restaurant,POINT (30.0562867 -1.9422401),-1.9422401,30.056286699999994,1
bank,POINT (30.059566 -1.9429787),-1.9429787,30.059566,1
cafe,POINT (30.0722827 -1.9323041),-1.9323041,30.072282699999995,1
restaurant,POINT (30.1251684 -1.9498466),-1.9498465999999999,30.125168400000003,1
bar,POINT (30.0500792 -1.970763),-1.970763,30.0500792,1
restaurant,POINT (30.0959369 -1.9562576),-1.9562576,30.0959369,1
cafe,POINT (30.0600184 -1.9510666),-1.9510666,30.0600184,1
cafe,POINT (30.1233105 -1.9420674),-1.9420674,30.123310500000002,1
restaurant,POINT (30.1143744 -1.9317793),-1.9317793000000003,30.114374399999996,1
supermarket,POINT (30.1141305 -1.9316179),-1.9316179,30.1141305,1
restaurant,POINT (30.0819484 -1.9520593),-1.9520593000000002,30.081948399999995,1
supermarket,POINT (30.1586347 -1.9643425),-1.9643425,30.158634700000004,1
bank,POINT (30.1019423 -1.9675934),-1.9675933999999997,30.101942299999997,1
supermarket,POINT (30.1206506 -1.9624442),-1.9624442,30.120650600000005,1
bar,POINT (30.0194207 -1.9628735),-1.9628735,30.019420699999998,1
restaurant,POINT (30.05987 -1.9459462),-1.9459461999999996,30.059869999999997,1
supermarket,POINT (30.1487148 -1.9588904),-1.9588904,30.1487148,1
pharmacy,POINT (30.1367659 -1.9615348),-1.9615347999999995,30.136765900000004,1
restaurant,POINT (30.0837515 -1.9380681),-1.9380681000000002,30.083751499999998,1
restaurant,POINT (30.0598382 -1.9662102),-1.9662102,30.059838199999998,1
restaurant,POINT (30.1129508 -1.9589516),-1.9589516,30.112950800000004,1
restaurant,POINT (30.0599278 -1.9453752),-1.9453752000000002,30.0599278,1
pharmacy,POINT (30.1128315 -1.9293913),-1.9293913,30.1128315,1
pharmacy,POINT (30.1240439 -1.9502876),-1.9502875999999996,30.124043899999997,1
pharmacy,POINT (30.1243908 -1.9499683),-1.9499682999999999,30.124390800000004,1
pharmacy,POINT (30.0947944 -1.9767785),-1.9767785,30.094794399999994,1
